,community,year,keep_row
381,GAGE PARK,2002.0,1
382,GAGE PARK,2008.0,1
383,GAGE PARK,2011.0,1
384,GAGE PARK,2013.0,1
385,GAGE PARK,2016.0,1
386,GAGE PARK,2017.0,1
387,GAGE PARK,2018.0,2
388,GAGE PARK,2019.0,4
389,GAGE PARK,2020.0,2
390,GAGE PARK,2021.0,4
391,GARFIELD RIDGE,2001.0,2
392,GARFIELD RIDGE,2002.0,16
393,GARFIELD RIDGE,2003.0,17
394,GARFIELD RIDGE,2004.0,17
395,GARFIELD RIDGE,2005.0,16
396,GARFIELD RIDGE,2006.0,16
397,GARFIELD RIDGE,2007.0,16
398,GARFIELD RIDGE,2008.0,14
399,GARFIELD RIDGE,2009.0,4
400,GARFIELD RIDGE,2010.0,14
401,GARFIELD RIDGE,2011.0,2
402,GARFIELD RIDGE,2012.0,13
403,GARFIELD RIDGE,2013.0,1
404,GARFIELD RIDGE,2014.0,12
405,GARFIELD RIDGE,2015.0,3
406,GARFIELD RIDGE,2016.0,13
407,GARFIELD RIDGE,2017.0,8
408,GARFIELD RIDGE,2018.0,6
409,GARFIELD RIDGE,2019.0,11
410,GARFIELD RIDGE,2020.0,4
411,GARFIELD RIDGE,2021.0,15
412,GRAND BOULEVARD,2002.0,2
413,GRAND BOULEVARD,2003.0,4
414,GRAND BOULEVARD,2004.0,7
415,GRAND BOULEVARD,2005.0,11
416,GRAND BOULEVARD,2006.0,13
417,GRAND BOULEVARD,2007.0,11
418,GRAND BOULEVARD,2008.0,3
419,GRAND BOULEVARD,2009.0,9
420,GRAND BOULEVARD,2010.0,3
421,GRAND BOULEVARD,2011.0,4
422,GRAND BOULEVARD,2012.0,1
423,GRAND BOULEVARD,2013.0,2
424,GRAND BOULEVARD,2014.0,2
425,GRAND BOULEVARD,2015.0,1
426,GRAND BOULEVARD,2016.0,2
427,GRAND BOULEVARD,2017.0,3
428,GRAND BOULEVARD,2018.0,1
429,GRAND BOULEVARD,2019.0,4
430,GRAND BOULEVARD,2020.0,3
431,GRAND BOULEVARD,2021.0,5
432,GREATER GRAND CROSSING,2002.0,2
433,GREATER GRAND CROSSING,2003.0,3
434,GREATER GRAND CROSSING,2004.0,5
435,GREATER GRAND CROSSING,2005.0,4
436,GREATER GRAND CROSSING,2006.0,6
437,GREATER GRAND CROSSING,2007.0,7
438,GREATER GRAND CROSSING,2008.0,7
439,GREATER GRAND CROSSING,2010.0,4
440,GREATER GRAND CROSSING,2011.0,1
441,GREATER GRAND CROSSING,2012.0,2
442,GREATER GRAND CROSSING,2013.0,1
443,GREATER GRAND CROSSING,2014.0,3
444,GREATER GRAND CROSSING,2015.0,3
445,GREATER GRAND CROSSING,2016.0,1
446,GREATER GRAND CROSSING,2017.0,3
447,GREATER GRAND CROSSING,2018.0,4
448,GREATER GRAND CROSSING,2019.0,7
449,GREATER GRAND CROSSING,2020.0,5
450,GREATER GRAND CROSSING,2021.0,6
451,HEGEWISCH,2001.0,1
452,HEGEWISCH,2002.0,1
453,HEGEWISCH,2003.0,1
454,HEGEWISCH,2004.0,1
455,HEGEWISCH,2005.0,1
456,HEGEWISCH,2019.0,1
457,HEGEWISCH,2020.0,2
458,HERMOSA,2005.0,1
459,HERMOSA,2006.0,2
460,HERMOSA,2007.0,3
461,HERMOSA,2008.0,3
462,HERMOSA,2009.0,3
463,HERMOSA,2011.0,3
464,HERMOSA,2013.0,3
465,HERMOSA,2014.0,2
466,HERMOSA,2015.0,2
467,HERMOSA,2016.0,1
468,HERMOSA,2017.0,2
469,HERMOSA,2018.0,1
470,HERMOSA,2019.0,1
471,HERMOSA,2020.0,3
472,HERMOSA,2021.0,2
473,HUMBOLDT PARK,2002.0,7
474,HUMBOLDT PARK,2003.0,2
475,HUMBOLDT PARK,2004.0,2
476,HUMBOLDT PARK,2005.0,2
477,HUMBOLDT PARK,2006.0,2
478,HUMBOLDT PARK,2007.0,2
479,HUMBOLDT PARK,2009.0,3
480,HUMBOLDT PARK,2010.0,1
481,HUMBOLDT PARK,2011.0,2
482,HUMBOLDT PARK,2012.0,1
483,HUMBOLDT PARK,2013.0,2
484,HUMBOLDT PARK,2015.0,3
485,HUMBOLDT PARK,2016.0,1
486,HUMBOLDT PARK,2017.0,5
487,HUMBOLDT PARK,2018.0,5
488,HUMBOLDT PARK,2019.0,10
489,HUMBOLDT PARK,2020.0,10
490,HUMBOLDT PARK,2021.0,10
491,HYDE PARK,2002.0,20
492,HYDE PARK,2003.0,24
493,HYDE PARK,2004.0,22
494,HYDE PARK,2005.0,23
495,HYDE PARK,2006.0,23
496,HYDE PARK,2007.0,25
497,HYDE PARK,2008.0,3
498,HYDE PARK,2009.0,26
499,HYDE PARK,2010.0,6
500,HYDE PARK,2011.0,29
501,HYDE PARK,2012.0,1
502,HYDE PARK,2013.0,20
503,HYDE PARK,2014.0,3
504,HYDE PARK,2015.0,23
505,HYDE PARK,2016.0,11
506,HYDE PARK,2017.0,18
507,HYDE PARK,2018.0,13
508,HYDE PARK,2019.0,22
509,HYDE PARK,2020.0,10
510,HYDE PARK,2021.0,27
511,IRVING PARK,2001.0,1
512,IRVING PARK,2002.0,14
513,IRVING PARK,2003.0,15
514,IRVING PARK,2004.0,20
515,IRVING PARK,2005.0,16
516,IRVING PARK,2006.0,17
517,IRVING PARK,2007.0,18
518,IRVING PARK,2008.0,8
519,IRVING PARK,2009.0,9
520,IRVING PARK,2010.0,10
521,IRVING PARK,2011.0,7
522,IRVING PARK,2012.0,4
523,IRVING PARK,2013.0,8
524,IRVING PARK,2014.0,7
525,IRVING PARK,2015.0,13
526,IRVING PARK,2016.0,5
527,IRVING PARK,2017.0,11
528,IRVING PARK,2018.0,5
529,IRVING PARK,2019.0,9
530,IRVING PARK,2020.0,8
