,CCA_name,Year,crimes,coffeeshops
461,Englewood,2003.0,555.0,1.0
462,Englewood,2004.0,502.0,1.0
463,Englewood,2005.0,462.0,1.0
464,Englewood,2006.0,488.0,1.0
465,Englewood,2007.0,613.0,1.0
466,Englewood,2008.0,669.0,5.0
467,Englewood,2009.0,593.0,1.0
468,Englewood,2010.0,529.0,4.0
469,Englewood,2011.0,526.0,3.5
470,Englewood,2012.0,436.0,3.0
471,Englewood,2013.0,431.0,2.0
472,Englewood,2014.0,375.0,3.0
473,Englewood,2015.0,311.0,3.0
474,Englewood,2016.0,357.0,2.0
475,Englewood,2017.0,288.0,3.0
476,Englewood,2018.0,234.0,6.0
477,Englewood,2019.0,239.0,4.0
478,Englewood,2020.0,233.0,2.0
479,Englewood,2021.0,140.0,6.0
480,Forest Glen,2002.0,9.0,6.0
481,Forest Glen,2003.0,9.0,6.0
482,Forest Glen,2004.0,6.0,6.0
483,Forest Glen,2005.0,13.0,5.0
484,Forest Glen,2006.0,9.0,5.0
485,Forest Glen,2007.0,8.0,5.0
486,Forest Glen,2008.0,11.0,5.0
487,Forest Glen,2009.0,8.0,5.0
488,Forest Glen,2010.0,2.0,2.0
489,Forest Glen,2011.0,6.0,4.0
490,Forest Glen,2012.0,3.0,3.5
491,Forest Glen,2013.0,5.0,3.0
492,Forest Glen,2014.0,2.0,3.0
493,Forest Glen,2015.0,3.0,3.0
494,Forest Glen,2016.0,7.0,3.5
495,Forest Glen,2017.0,8.0,4.0
496,Forest Glen,2018.0,5.0,3.5
497,Forest Glen,2019.0,2.0,3.0
498,Forest Glen,2020.0,7.0,3.0
499,Forest Glen,2021.0,4.0,3.0
500,Fuller Park,2002.0,49.0,2.75
501,Fuller Park,2003.0,68.0,2.5
502,Fuller Park,2004.0,76.0,2.25
503,Fuller Park,2005.0,72.0,2.0
504,Fuller Park,2006.0,58.0,1.0
505,Fuller Park,2007.0,46.0,1.0
506,Fuller Park,2008.0,90.0,1.0
507,Fuller Park,2009.0,52.0,1.0
508,Fuller Park,2010.0,59.0,1.0
509,Fuller Park,2011.0,104.0,1.0
510,Fuller Park,2012.0,90.0,1.0
511,Fuller Park,2013.0,57.0,1.0
512,Fuller Park,2014.0,54.0,1.0
513,Fuller Park,2015.0,54.0,1.0
514,Fuller Park,2016.0,60.0,1.0
515,Fuller Park,2017.0,61.0,1.0
516,Fuller Park,2018.0,36.0,1.0
517,Fuller Park,2019.0,53.0,1.5
518,Fuller Park,2020.0,50.0,2.0
519,Fuller Park,2021.0,27.0,2.0
520,Gage Park,2002.0,156.0,1.0
521,Gage Park,2003.0,174.0,1.0
522,Gage Park,2004.0,135.0,1.0
523,Gage Park,2005.0,154.0,1.0
524,Gage Park,2006.0,136.0,1.0
525,Gage Park,2007.0,127.0,1.0
526,Gage Park,2008.0,149.0,1.0
527,Gage Park,2009.0,182.0,1.0
528,Gage Park,2010.0,198.0,1.0
529,Gage Park,2011.0,124.0,1.0
530,Gage Park,2012.0,150.0,1.0
531,Gage Park,2013.0,119.0,1.0
532,Gage Park,2014.0,87.0,1.0
533,Gage Park,2015.0,127.0,1.0
534,Gage Park,2016.0,126.0,1.0
535,Gage Park,2017.0,173.0,1.0
536,Gage Park,2018.0,84.0,2.0
537,Gage Park,2019.0,104.0,4.0
538,Gage Park,2020.0,77.0,2.0
539,Gage Park,2021.0,56.0,4.0
540,Garfield Ridge,2002.0,125.0,16.0
541,Garfield Ridge,2003.0,186.0,17.0
542,Garfield Ridge,2004.0,154.0,17.0
543,Garfield Ridge,2005.0,117.0,16.0
544,Garfield Ridge,2006.0,104.0,16.0
545,Garfield Ridge,2007.0,85.0,16.0
546,Garfield Ridge,2008.0,105.0,14.0
547,Garfield Ridge,2009.0,68.0,4.0
548,Garfield Ridge,2010.0,47.0,14.0
549,Garfield Ridge,2011.0,38.0,2.0
