,timeperiod_x,CCA_name,Year,crimes,year,coffeeshops
230,2015-2019,Woodlawn,10085,885.0,10085.0,32.0
231,2020,Albany Park,2020,90.0,2020.0,9.0
232,2020,Archer Heights,2020,30.0,2020.0,3.0
233,2020,Armour Square,2020,72.0,2020.0,6.0
234,2020,Ashburn,2020,57.0,2020.0,1.0
235,2020,Auburn Gresham,2020,203.0,2020.0,5.0
236,2020,Austin,2020,758.0,2020.0,8.0
237,2020,Avalon Park,2020,47.0,2020.0,3.0
238,2020,Avondale,2020,86.0,2020.0,17.0
239,2020,Belmont Cragin,2020,97.0,2020.0,9.0
240,2020,Beverly,2020,29.0,2020.0,3.0
241,2020,Bridgeport,2020,44.0,2020.0,5.0
242,2020,Brighton Park,2020,70.0,2020.0,4.0
243,2020,Burnside,2020,11.0,2020.0,5.0
244,2020,Calumet Heights,2020,89.0,0.0,0.0
245,2020,Chatham,2020,261.0,0.0,0.0
246,2020,Chicago Lawn,2020,210.0,0.0,0.0
247,2020,Clearing,2020,24.0,0.0,0.0
248,2020,Douglas,2020,85.0,2020.0,6.0
249,2020,Dunning,2020,19.0,2020.0,4.0
250,2020,East Garfield Park,2020,210.0,2020.0,13.0
251,2020,East Side,2020,19.0,0.0,0.0
252,2020,Edgewater,2020,62.0,2020.0,13.0
253,2020,Edison Park,2020,1.0,2020.0,2.0
254,2020,Englewood,2020,233.0,2020.0,5.0
255,2020,Forest Glen,2020,7.0,2020.0,0.0
256,2020,Fuller Park,2020,50.0,0.0,0.0
257,2020,Gage Park,2020,77.0,2020.0,3.0
258,2020,Garfield Ridge,2020,44.0,2020.0,5.0
259,2020,Grand Boulevard,2020,89.0,0.0,0.0
260,2020,Greater Grand Crossing,2020,258.0,0.0,0.0
261,2020,Hegewisch,2020,8.0,0.0,0.0
262,2020,Hermosa,2020,35.0,0.0,0.0
263,2020,Humboldt Park,2020,329.0,2020.0,16.0
264,2020,Hyde Park,2020,81.0,2020.0,10.0
265,2020,Irving Park,2020,82.0,0.0,0.0
266,2020,Jefferson Park,2020,14.0,2020.0,6.0
267,2020,Kenwood,2020,36.0,2020.0,2.0
268,2020,Lake View,2020,149.0,2020.0,44.0
269,2020,Lincoln Park,2020,114.0,2020.0,21.0
