,timeperiod,GEOG,crimes,coffeeshops,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,EMP,UNEMP,TOT_POP,WHITE,HISP,BLACK,ASIAN,POP_HH,AsianPerc,BlackPerc,HispPerc,WhitePerc,UnemployedPerc,EmployedPerc,Inc25k,Inc50k,Inc75k,Inc100k,Inc150k,Inc_gt150k
37,2005-2009,Lake View,1321.0,300.0,8944.0,9539.0,8626.0,6451.0,8214.0,10794.0,72383.44832,68957.0,3434.0,96539.0,77037.0,7268.0,3567.0,6661.0,96065.0,0.06899802152497954,0.03694879789515118,0.07528563585701116,0.7979883777540683,0.035571116336402905,0.7142916334331203,0.09264649519883156,0.09880980743533702,0.0893524896673883,0.06682273485327174,0.0850847843876568,0.11180973492578129
38,2005-2009,Lincoln Park,917.0,257.0,5854.0,4069.0,4157.0,3816.0,5257.0,9041.0,88213.56997,41372.0,2211.0,64631.0,52663.0,4238.0,2731.0,3712.0,61161.0,0.05743373922730578,0.04225526450155498,0.0655722486113475,0.8148257028361003,0.03420958982531602,0.6401262552026118,0.0905757299128901,0.06295740434156984,0.06431898005601028,0.05904287416255357,0.08133867648651576,0.13988643220745461
39,2005-2009,Lincoln Square,337.0,189.0,3499.0,3721.0,3747.0,2375.0,2106.0,2174.0,60137.85846,23356.0,2097.0,38622.0,24332.0,7483.0,1764.0,4015.0,38022.0,0.10395629434001347,0.0456734503650769,0.1937496763502667,0.6300036248770131,0.05429547926052509,0.6047330536999638,0.09059603334886852,0.09634405261250065,0.0970172440577909,0.06149344932939775,0.054528507068510174,0.05628916161773083
40,2005-2009,Logan Square,1652.0,111.0,6605.0,7378.0,5058.0,2914.0,3757.0,3335.0,52184.50263,40786.24041,3648.890552,72925.0,29951.0,35131.0,4710.0,1923.0,72448.0,0.026369557764826877,0.06458690435378814,0.4817415152553994,0.4107096331847789,0.05003620914638327,0.5592902353102502,0.09057250599931436,0.10117243743572163,0.06935893040795338,0.03995886184436064,0.05151868357901954,0.045731916352416864
41,2005-2009,Loop,1155.0,643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2005-2009,Lower West Side,584.0,84.0,4170.0,4071.0,2035.0,935.0,748.0,296.0,36210.0053,17540.0,3296.0,36577.0,4562.0,30053.0,1175.0,367.0,36454.0,0.010033627689531673,0.03212401235749241,0.821636547557208,0.12472318670202587,0.09011127211088936,0.4795363206386527,0.1140060693878667,0.1112994504743418,0.055636055444678346,0.02556251196106843,0.020450009568854746,0.008092517155589578
43,2005-2009,Mckinley Park,210.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2005-2009,Montclare,121.0,71.0,1191.780069,1225.311569,826.9793814,487.65063,519.8270332,198.6311569,43075.71537,5447.296151,869.0250061,12452.56229,4798.605176,6436.245841,526.5083179,553.5486137,12323.34418,0.04445258741203213,0.04228112300412351,0.5168611640809547,0.3853508269421393,0.0697868427285739,0.43744379864491323,0.09570560991749112,0.09839834890719507,0.06641037901606031,0.03916066578455156,0.04174458405379315,0.015951026967318226
45,2005-2009,Morgan Park,595.0,17.0,1649.461538,1730.40293,1342.135531,1067.879121,1533.205128,696.025641,61351.47335,9478.041336,1677.746415,22700.91707,7193.130782,520.2057416,14511.58054,124.0,22299.91707,0.0054623343901762465,0.6392508503181806,0.02291562671216789,0.3168652068028545,0.07390654790846299,0.41751799307374854,0.07266056842169681,0.0762261244629092,0.05912252473595772,0.04704123263862485,0.06753934756345947,0.030660683832893276
46,2005-2009,Mount Greenwood,60.0,0.0,655.0,869.0,1039.0,1335.0,1652.0,1039.0,88697.95393,9157.0,878.0,18475.0,16318.0,937.0,937.0,169.0,17907.0,0.009147496617050067,0.05071718538565629,0.05071718538565629,0.8832476319350474,0.04752368064952639,0.4956427604871448,0.03545331529093369,0.047036535859269285,0.05623815967523681,0.0722598105548038,0.08941813261163735,0.05623815967523681
47,2005-2009,Near North Side,1642.0,380.0,9383.0,6410.0,8163.0,6167.0,7395.0,13240.0,80768.37636,51159.0,3839.0,80516.0,57777.0,4491.0,7625.0,8731.0,78732.0,0.10843807441999105,0.09470167420140096,0.05577773361816285,0.7175840826667992,0.047679964230711906,0.6353892394058324,0.116535843807442,0.07961150578766953,0.10138357593521785,0.07659347210492325,0.09184509911073575,0.1644393660887277
48,2005-2009,Near South Side,386.0,40.0,2161.0,2040.0,1758.0,1481.0,1774.0,2303.0,72033.2214,13361.0,693.0,20245.0,9143.0,1260.0,5585.0,3692.0,20049.0,0.18236601630032107,0.27587058532971104,0.06223758952827859,0.451617683378612,0.034230674240553226,0.6599654235613732,0.10674240553223018,0.10076562114102247,0.08683625586564583,0.07315386515188936,0.08762657446283033,0.11375648308224252
49,2005-2009,Near West Side,1950.0,271.0,6893.0,3191.0,3975.0,3160.0,4163.0,4283.0,67387.79872,30243.0,3614.0,54151.0,22669.0,4795.0,17319.0,7976.0,50255.0,0.14729183209913022,0.31982788868164946,0.08854868792820077,0.41862569481634687,0.06673930305996195,0.5584938412956363,0.12729220143672323,0.05892781296744289,0.07340584661409762,0.058355339698251185,0.07687761998855054,0.07909364554671197
50,2005-2009,New City,1596.0,5.0,4185.157895,3803.736842,1823.0,988.8421053,544.7368421,250.8947368,33097.76259,14446.54706,4330.762158,42036.34057,5746.28782,22494.5159,12647.0,547.8440652,41817.34057,0.01303262980962189,0.3008587291022607,0.5351206978290974,0.13669809840918795,0.10302424281648169,0.34366804684016766,0.09956047168356073,0.09048686899055637,0.04336723832951856,0.023523505897316502,0.012958712264520032,0.005968519937700182
51,2005-2009,North Center,258.0,89.0,1796.0,2251.0,2484.0,1738.0,2687.0,3768.0,86952.91657,20929.0,1150.0,33418.0,26348.0,4376.0,473.0,1392.0,33314.0,0.04165419833622599,0.014154048716260697,0.1309473936202047,0.7884373690825304,0.03441259201627865,0.6262792507032139,0.053743491531509965,0.06735890837273326,0.07433119875516189,0.05200789993416721,0.08040576934586151,0.11275360584116345
52,2005-2009,North Lawndale,2313.0,16.0,5680.0,2474.0,1395.0,752.0,347.0,204.0,23387.64721,9290.0,2506.0,36074.0,797.0,1800.0,33151.0,72.0,35296.0,0.0019958973221710927,0.9189721128790819,0.04989743305427732,0.022093474524588347,0.06946831513001053,0.2575261961523535,0.1574541220823862,0.06858124965349005,0.038670510617064925,0.020846038698231414,0.009619116261019016,0.005655042412818096
53,2005-2009,North Park,144.0,0.0,1857.0,1117.0,1090.0,838.0,820.0,714.0,54235.6875,8401.0,925.0,18739.0,9358.0,3428.0,314.0,5178.0,18117.0,0.27632210897059606,0.01675649714499173,0.18293398793959123,0.4993863066332248,0.04936229254495971,0.44831634558941247,0.09909813757404344,0.05960830353807567,0.05816745824216874,0.04471956881370404,0.043759005283099416,0.03810235338064998
