,Unnamed: 0,LONGITUDE,LATITUDE,CCA
227,73209,-87.585799573,41.806170388,"KENWOOD,OAKLAND"
228,73485,-87.68286119,41.910277011,"WICKER PARK,WEST TOWN"
229,73595,-87.623980519,41.900118457,STREETERVILLE
230,73599,-87.700206507,41.816426881,"BRIGHTON PARK,MCKINLEY PARK"
231,73698,-87.640723497,41.863337832,WEST LOOP
232,73841,-87.663647157,41.764867752,ENGLEWOOD
233,73867,-87.618502427,41.892518301,
234,73896,-87.683376777,41.914351203,BUCKTOWN
235,73913,-87.646504796,41.858183857,LOWER WEST SIDE
236,74268,-87.624307178,41.891688517,STREETERVILLE
237,74280,-87.639764523,41.879616268,WEST LOOP
238,74349,-87.69202089,41.973725499,LINCOLN SQUARE
239,74396,-87.625912729,41.896600154,RUSH & DIVISION
240,74404,-87.655752955,41.973190362,UPTOWN
241,74424,-87.775692961,41.952959773,PORTAGE PARK
242,74449,-87.631514665,41.92616072,LINCOLN PARK
243,74486,-87.670890134,41.932482474,LAKE VIEW
244,74502,-87.641268696,41.927168968,LINCOLN PARK
245,74701,-87.628369943,41.897542251,RUSH & DIVISION
246,74797,-87.651182688,41.833618869,BRIDGEPORT
247,75042,,,BRONZEVILLE
248,75055,-87.626556085,41.886831512,LOOP
249,75122,-87.623272561,41.884588372,LOOP
250,75184,-87.647501679,41.909313774,RIVER NORTH
251,75204,-87.654966292,41.939787596,LAKE VIEW
252,75226,-87.653928731,41.932746527,LAKE VIEW
253,75333,-87.627035641,41.887938744,RIVER NORTH
254,75342,-87.620520448,41.894905816,
255,75464,-87.609518049,41.892249163,
256,75655,-87.626824833,41.765552617,"SOUTH SHORE, GRAND CROSSING"
257,75668,-87.651182688,41.833618869,BRIDGEPORT
258,75723,-87.697050383,41.984404991,WEST RIDGE
259,76000,-87.714941884,41.786172839,"ARCHER HEIGHTS,WEST ELSDON"
260,76003,-87.635094409,41.853605986,"ARMOUR SQUARE,CHINATOWN"
261,76188,-87.624812444,41.893216223,
